prompt_id,category,model,n_samples,hivemind_score,embedding_similarity,ast_similarity,naming_similarity,ngram_similarity,pattern_entropy,unique_pattern_sets,library_entropy,unique_import_sets
AL-01,ALGORITHM,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-01,ALGORITHM,Claude Sonnet 4,4,0.5621774661457276,0.0,0.923076923076923,0.7957875457875457,0.6619555357200503,0.8112781241705938,2,0.8112781241705938,2
AL-01,ALGORITHM,GPT-4o,4,0.4468734333016148,0.0,0.8106260634864754,0.7020833333333334,0.35866833832601547,1.4999999995671913,3,-1.4426951601859516e-10,1
AL-01,ALGORITHM,GPT-4o-mini,4,0.5934227760146495,0.0,0.9130434782608695,0.8846153846153847,0.7685428911025002,0.8112781241705938,2,-1.4426951601859516e-10,1
AL-01,ALGORITHM,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-01,ALGORITHM,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-01,ALGORITHM,o3-mini,4,0.42733094117487525,0.0,0.9038461538461539,0.6749935500515996,0.22024906233631766,1.9999999994229218,4,-1.4426951601859516e-10,1
AL-02,ALGORITHM,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-02,ALGORITHM,Claude Sonnet 4,4,0.23911920401984027,0.0,0.36295351473922904,0.21762355130691394,0.21265812808446682,0.8112781241705938,2,1.4999999995671913,3
AL-02,ALGORITHM,GPT-4o,4,0.46436489358534305,0.0,0.8959551656920078,0.5702020202020203,0.39779354297101605,0.9999999997114609,2,-1.4426951601859516e-10,1
AL-02,ALGORITHM,GPT-4o-mini,4,0.5284268891114652,0.0,0.8894830659536542,0.6597667863114088,0.49401843570640547,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-02,ALGORITHM,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-02,ALGORITHM,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-02,ALGORITHM,o3-mini,4,0.17929855290333918,0.0,0.3786583401166735,0.1420634920634921,0.04147512964696967,1.4999999995671913,3,1.9999999994229218,4
AL-03,ALGORITHM,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,Claude Sonnet 4,4,0.5193159740919746,0.0,0.7846167958744023,0.7556471306471306,0.48021565992759263,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,GPT-4o-mini,4,0.611979510022875,0.0,1.0,0.8461538461538461,0.618324938581978,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-03,ALGORITHM,o3-mini,4,0.5774282830122164,0.0,1.0,0.8566544566544566,0.3739826111767736,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,Claude Sonnet 4,4,0.45537517305567016,0.0,0.8777885000153908,0.41728563349109543,0.34980614232529605,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,GPT-4o,4,0.5410625074563638,0.0,0.9351851851851852,0.7285353535353535,0.4103942696545846,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,GPT-4o-mini,4,0.6047292143450074,0.0,1.0,0.7192982456140351,0.7391304347826088,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-04,ALGORITHM,o3-mini,4,0.507775158737332,0.0,0.8841195341482697,0.7221459955593083,0.28210717389062584,-1.4426951601859516e-10,1,1.4999999995671913,3
AL-05,ALGORITHM,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,Claude Sonnet 4,4,0.6930921052679669,0.0,1.0,1.0,0.9539473684210527,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,GPT-4o-mini,4,0.6992125984300058,0.0,1.0,1.0,0.994750656167979,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
AL-05,ALGORITHM,o3-mini,4,0.4681172586795029,0.0,0.8846153846153846,0.5954847053531264,0.36606050396034157,0.8112781241705938,2,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,Claude Sonnet 4,4,0.15726045880763095,0.0,0.0,0.3388246462575107,0.2633035302780125,1.4999999995671913,3,1.9999999994229218,4
CT-01,CREATIVE_TOOL,GPT-4o,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,GPT-4o-mini,4,0.3023976602900297,0.0,0.16666666666666666,0.5000359502448611,0.40482535713054535,-1.4426951601859516e-10,1,1.4999999995671913,3
CT-01,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-01,CREATIVE_TOOL,o3-mini,4,0.3273233102477759,0.0,0.7663726751962047,0.3363239282388219,0.12310237191022257,1.4999999995671913,3,0.8112781241705938,2
CT-02,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,Claude Sonnet 4,4,0.1927609488253471,0.0,0.0,0.37960902709006117,0.2925449836423646,0.8112781241705938,2,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,GPT-4o,4,0.36938648201929863,0.0,0.4510242843576177,0.5156223893065998,0.3567062204251019,-1.4426951601859516e-10,1,0.8112781241705938,2
CT-02,CREATIVE_TOOL,GPT-4o-mini,4,0.2535790135842619,0.0,0.0,0.43872716554370506,0.6191745640969376,0.8112781241705938,2,1.4999999995671913,3
CT-02,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-02,CREATIVE_TOOL,o3-mini,4,0.4147311756155227,0.0,0.8010141093474427,0.7248525628960412,0.24115868231256352,1.9999999994229218,4,0.8112781241705938,2
CT-03,CREATIVE_TOOL,Claude 3.5 Haiku,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Claude Sonnet 4,4,0.19845001342911994,0.0,0.0,0.45981860495763266,0.26546417174205833,0.9999999997114609,2,1.9999999994229218,4
CT-03,CREATIVE_TOOL,GPT-4o,4,0.37731128430357685,0.0,0.8037815126050419,0.3269105222734255,0.2954475668089776,0.9999999997114609,2,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,GPT-4o-mini,4,0.4970394282955157,0.0,0.8740919489154405,0.5540654189257733,0.4513557151779463,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Gemini 2.5 Flash,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
CT-03,CREATIVE_TOOL,Gemini 2.5 Pro,4,0.7000000000048091,0.0,1.0,1.0,1.0,-1.4426951601859516e-10,1,-1.4426951601859516e-10,1
