prompt_id,category,inter_hivemind,inter_embedding_similarity,inter_ast_similarity,inter_naming_similarity,inter_ngram_similarity,intra_hivemind_mean,intra_hivemind_std,n_inter_samples
AL-01,ALGORITHM,0.23110541518048874,0.0,0.3962351531001416,0.31632580382580383,0.20129221706862385,0.589972088093042,0.10956553168198341,7
AL-02,ALGORITHM,0.19051978703512198,0.0,0.3407478453532081,0.20804984457244724,0.16756815468221023,0.5016013628049165,0.20457908222243393,7
AL-03,ALGORITHM,0.22930992745662912,0.0,0.3981083661534789,0.2457838736034225,0.19279943804880503,0.6441033953066146,0.0692275097731472,7
AL-04,ALGORITHM,0.21089896607804218,0.0,0.342894866858245,0.22717824503538792,0.18688969910766132,0.6012774362298287,0.09479777914057026,7
AL-05,ALGORITHM,0.23458253877110768,0.0,0.41054338078147606,0.26128596349184585,0.18655570258076892,0.6657745660566732,0.0807273032524637,7
CT-01,CREATIVE_TOOL,0.14630939298097562,0.0,0.1831963896669779,0.18726465987572205,0.16313153339391842,0.5124259184806677,0.22208540596435716,7
CT-02,CREATIVE_TOOL,0.13772072016125933,0.0,0.18743386243386242,0.18497385583440723,0.1653577288327589,0.47577966000840827,0.2054067138020236,7
CT-03,CREATIVE_TOOL,0.15108020978764133,0.0,0.25157341983873643,0.17586369085330575,0.15966861730865084,0.48183882614914925,0.2116743636375367,7
CT-04,CREATIVE_TOOL,0.17077014964671042,0.0,0.3295709334039899,0.17946798397926217,0.15613330292574706,0.5466460065687031,0.15963023861682324,7
CT-05,CREATIVE_TOOL,0.17538586832238023,0.0,0.2790002957704821,0.19665155185885203,0.18478566951993555,0.5713399698140872,0.2121775065187727,7
NM-01,NAMING,0.21783096784421954,0.0,0.36584730800812393,0.27107653435732015,0.2237746692715037,0.6459906432204822,0.07151111563325491,7
NM-02,NAMING,0.15538742499489835,0.0,0.25205462488985503,0.18986031657340977,0.16891920931169468,0.5122744412604577,0.18648426975910865,7
NM-03,NAMING,0.22592321884511551,0.0,0.3810253667396524,0.24390161644552938,0.20120272253894933,0.589198450639025,0.10268882876810906,7
NM-04,NAMING,0.21356116449846363,0.0,0.3498183194162272,0.2334999448669918,0.18466966787169548,0.5578383340379396,0.17651790073849538,7
NM-05,NAMING,0.13844488830489515,0.0,0.1856642657062825,0.18923077322394063,0.16745895448358628,0.437301065488423,0.194665328998197,7
OD-01,OPEN_DESIGN,0.23179053970461774,0.0,0.3815059246543265,0.2673863139088703,0.20820433512671938,0.5969117646351014,0.10107619748823443,7
OD-02,OPEN_DESIGN,0.19803569349190708,0.0,0.36740308222229934,0.2480096841930305,0.1834610802448514,0.5545202213858771,0.15745832238038357,7
OD-03,OPEN_DESIGN,0.20869420455690738,0.0,0.3703699654657594,0.24759828441921,0.18662948484417705,0.543085006048667,0.14375769841676359,7
OD-04,OPEN_DESIGN,0.15614764168384648,0.0,0.14285714285714285,0.21362286400597874,0.17335091785407256,0.4441025950501113,0.2238972866394727,7
OD-05,OPEN_DESIGN,0.1913277525567614,0.0,0.3445594807669111,0.2388014388014388,0.18909180362498276,0.6233215463363345,0.10421807485293795,7
RF-01,REFACTOR,0.22728164651753302,0.0,0.415974015743601,0.24722004186289903,0.23504333752702658,0.6445375029962229,0.06925516062068739,7
RF-02,REFACTOR,0.21610979311376305,0.0,0.14285714285714285,0.31825004696150117,0.24311949300202246,0.5470039716629418,0.1845297693873456,7
RF-03,REFACTOR,0.21591989240192486,0.0,0.3822179235276888,0.28018419603558925,0.23509832167924233,0.6217274660893995,0.10094276341319051,7
RF-04,REFACTOR,0.20016141354450204,0.0,0.3843813691156201,0.24486679274535472,0.17352592437018408,0.5604981251781337,0.13533303033141852,7
RF-05,REFACTOR,0.19656888945974277,0.0,0.34457152615884545,0.22072949328588423,0.18461650455237053,0.5910768524629759,0.14667812775162095,7
SD-01,SYSTEM_DESIGN,0.13278844386981398,0.0,0.18179467733039162,0.16940471778367835,0.16263337946321293,0.5140730644227971,0.17670638030671618,7
SD-02,SYSTEM_DESIGN,0.13702249169498212,0.0,0.18642937944408533,0.1815125448693688,0.16699209199392392,0.48851092536215107,0.20065944171069217,7
SD-03,SYSTEM_DESIGN,0.16142534099172637,0.0,0.2660287081339713,0.1955559295103581,0.1782876933010899,0.5241826166237218,0.18603691637213282,7
SD-04,SYSTEM_DESIGN,0.15988521119117957,0.0,0.26395211930926216,0.1924309918106963,0.1756477262715088,0.49999642747297585,0.18788188379147872,7
SD-05,SYSTEM_DESIGN,0.1663531112929037,0.0,0.2696988421159882,0.21325624771921728,0.18142218106043173,0.551814507880343,0.1870169649101241,7
