prompt_id,category,temperature,mean_hivemind_score,mean_embedding_similarity,n_models
AL-01,ALGORITHM,0.0,0.6540672744629231,0.0,7
AL-01,ALGORITHM,0.6,0.6373520763214761,0.0,7
AL-01,ALGORITHM,1.0,0.589972088093042,0.0,7
AL-02,ALGORITHM,0.0,0.5807042041457015,0.0,7
AL-02,ALGORITHM,0.6,0.5236435100707225,0.0,7
AL-02,ALGORITHM,1.0,0.5016013628049165,0.0,7
AL-03,ALGORITHM,0.0,0.6812213285795589,0.0,7
AL-03,ALGORITHM,0.6,0.632340656812404,0.0,7
AL-03,ALGORITHM,1.0,0.6441033953066146,0.0,7
AL-04,ALGORITHM,0.0,0.6654694947645646,0.0,7
AL-04,ALGORITHM,0.6,0.5968834836579668,0.0,7
AL-04,ALGORITHM,1.0,0.6012774362298287,0.0,7
AL-05,ALGORITHM,0.0,0.6854117599963894,0.0,7
AL-05,ALGORITHM,0.6,0.6719096979873912,0.0,7
AL-05,ALGORITHM,1.0,0.6657745660566732,0.0,7
CT-01,CREATIVE_TOOL,0.0,0.5665938849772482,0.0,7
CT-01,CREATIVE_TOOL,0.6,0.4942084765349211,0.0,7
CT-01,CREATIVE_TOOL,1.0,0.5124259184806677,0.0,7
CT-02,CREATIVE_TOOL,0.0,0.5491973099148366,0.0,7
CT-02,CREATIVE_TOOL,0.6,0.5254726700135438,0.0,7
CT-02,CREATIVE_TOOL,1.0,0.47577966000840827,0.0,7
CT-03,CREATIVE_TOOL,0.0,0.6104098612038695,0.0,7
CT-03,CREATIVE_TOOL,0.6,0.4855237609349401,0.0,7
CT-03,CREATIVE_TOOL,1.0,0.48183882614914925,0.0,7
CT-04,CREATIVE_TOOL,0.0,0.6144557404201301,0.0,7
CT-04,CREATIVE_TOOL,0.6,0.5855813342592596,0.0,7
CT-04,CREATIVE_TOOL,1.0,0.5466460065687031,0.0,7
CT-05,CREATIVE_TOOL,0.0,0.5712158380987582,0.0,7
CT-05,CREATIVE_TOOL,0.6,0.5207365470920216,0.0,7
CT-05,CREATIVE_TOOL,1.0,0.5713399698140872,0.0,7
NM-01,NAMING,0.0,0.6642051895098788,0.0,7
NM-01,NAMING,0.6,0.6482488738338185,0.0,7
NM-01,NAMING,1.0,0.6459906432204822,0.0,7
NM-02,NAMING,0.0,0.5973691577592738,0.0,7
NM-02,NAMING,0.6,0.5571401006339259,0.0,7
NM-02,NAMING,1.0,0.5122744412604577,0.0,7
NM-03,NAMING,0.0,0.573902783637352,0.0,7
NM-03,NAMING,0.6,0.6146398127148469,0.0,7
NM-03,NAMING,1.0,0.589198450639025,0.0,7
NM-04,NAMING,0.0,0.6219158065891837,0.0,7
NM-04,NAMING,0.6,0.5855019354069776,0.0,7
NM-04,NAMING,1.0,0.5578383340379396,0.0,7
NM-05,NAMING,0.0,0.6001102214705617,0.0,7
NM-05,NAMING,0.6,0.5302898740516947,0.0,7
NM-05,NAMING,1.0,0.437301065488423,0.0,7
OD-01,OPEN_DESIGN,0.0,0.5771464740036104,0.0,7
OD-01,OPEN_DESIGN,0.6,0.5299479453794201,0.0,7
OD-01,OPEN_DESIGN,1.0,0.5969117646351014,0.0,7
OD-02,OPEN_DESIGN,0.0,0.6133577664692994,0.0,7
OD-02,OPEN_DESIGN,0.6,0.577223514617273,0.0,7
OD-02,OPEN_DESIGN,1.0,0.5545202213858771,0.0,7
OD-03,OPEN_DESIGN,0.0,0.54538083391666,0.0,7
OD-03,OPEN_DESIGN,0.6,0.5812954457813095,0.0,7
OD-03,OPEN_DESIGN,1.0,0.543085006048667,0.0,7
OD-04,OPEN_DESIGN,0.0,0.42735198913659417,0.0,7
OD-04,OPEN_DESIGN,0.6,0.43942597204960615,0.0,7
OD-04,OPEN_DESIGN,1.0,0.4441025950501113,0.0,7
OD-05,OPEN_DESIGN,0.0,0.6465883057465452,0.0,7
OD-05,OPEN_DESIGN,0.6,0.5755028244761381,0.0,7
OD-05,OPEN_DESIGN,1.0,0.6233215463363345,0.0,7
RF-01,REFACTOR,0.0,0.6635239994876114,0.0,7
RF-01,REFACTOR,0.6,0.6601200737873281,0.0,7
RF-01,REFACTOR,1.0,0.6445375029962229,0.0,7
RF-02,REFACTOR,0.0,0.5994766300350801,0.0,7
RF-02,REFACTOR,0.6,0.5509621713493742,0.0,7
RF-02,REFACTOR,1.0,0.5470039716629418,0.0,7
RF-03,REFACTOR,0.0,0.6244467098162777,0.0,7
RF-03,REFACTOR,0.6,0.6028085231967629,0.0,7
RF-03,REFACTOR,1.0,0.6217274660893995,0.0,7
RF-04,REFACTOR,0.0,0.6335052569710049,0.0,7
RF-04,REFACTOR,0.6,0.5785401814786936,0.0,7
RF-04,REFACTOR,1.0,0.5604981251781337,0.0,7
RF-05,REFACTOR,0.0,0.6232571251852853,0.0,7
RF-05,REFACTOR,0.6,0.5319308997565294,0.0,7
RF-05,REFACTOR,1.0,0.5910768524629759,0.0,7
SD-01,SYSTEM_DESIGN,0.0,0.5815357308869774,0.0,7
SD-01,SYSTEM_DESIGN,0.6,0.5083622639399054,0.0,7
SD-01,SYSTEM_DESIGN,1.0,0.5140730644227971,0.0,7
SD-02,SYSTEM_DESIGN,0.0,0.581630722713952,0.0,7
SD-02,SYSTEM_DESIGN,0.6,0.5002978876924337,0.0,7
SD-02,SYSTEM_DESIGN,1.0,0.48851092536215107,0.0,7
SD-03,SYSTEM_DESIGN,0.0,0.5448832231210753,0.0,7
SD-03,SYSTEM_DESIGN,0.6,0.4938528326915919,0.0,7
SD-03,SYSTEM_DESIGN,1.0,0.5241826166237218,0.0,7
SD-04,SYSTEM_DESIGN,0.0,0.6027501813474833,0.0,7
SD-04,SYSTEM_DESIGN,0.6,0.4918939779367052,0.0,7
SD-04,SYSTEM_DESIGN,1.0,0.49999642747297585,0.0,7
SD-05,SYSTEM_DESIGN,0.0,0.5355914314960175,0.0,7
SD-05,SYSTEM_DESIGN,0.6,0.5119836124758342,0.0,7
SD-05,SYSTEM_DESIGN,1.0,0.551814507880343,0.0,7
